ID,tool,level
19,Laravel,Want to work with NEXT year
19,React.js,Want to work with NEXT year
19,Ruby on Rails,
19,Vue.js,Both
19,Spring,
19,.NET,
19,.NET Core,
19,Flutter,Both
19,Node.js,Both
19,Puppet,
19,React Native,Want to work with NEXT year
19,Deno.js,
19,GitHub,Both
19,GitLab,Worked with in PAST year
19,Facebook Workplace,
19,Slack,Worked with in PAST year
19,Microsoft Teams,
19,Microsoft Azure2,
19,Trello,Both
19,"Google Suite (Docs, Meet, etc)",Both
19,Stack Overflow for Teams,
19,Jira,
20,C,
20,C#,
20,C++,
20,HTML/CSS,
20,Java,
20,JavaScript,
20,Kotlin,
20,PHP,
20,Python,
20,Ruby,
20,SQL,
20,Swift,
20,TypeScript,
20,Android,
20,Arduino,
20,AWS,
20,Docker,
20,Google Cloud Platform,
20,Heroku,
20,IBM Cloud or Watson,
20,iOS,
20,Linux,
20,MacOS,
20,Microsoft Azure,
20,Raspberry Pi,
20,Windows,
20,WordPress,
20,Angular,
20,ASP.NET,
20,Django,
20,Express,
20,jQuery,
20,Laravel,
20,React.js,
20,Ruby on Rails,
20,Vue.js,
20,Spring,
20,.NET,
20,.NET Core,
20,Flutter,
20,Node.js,
20,Puppet,
20,React Native,
20,Deno.js,
20,GitHub,
20,GitLab,
20,Facebook Workplace,
20,Slack,
20,Microsoft Teams,
20,Microsoft Azure2,
20,Trello,
20,"Google Suite (Docs, Meet, etc)",
20,Stack Overflow for Teams,
20,Jira,
21,C,
21,C#,
21,C++,
21,HTML/CSS,Both
21,Java,
21,JavaScript,Want to work with NEXT year
21,Kotlin,
21,PHP,
21,Python,Worked with in PAST year
21,Ruby,
21,SQL,
21,Swift,
21,TypeScript,Want to work with NEXT year
21,Android,
21,Arduino,
21,AWS,
21,Docker,
21,Google Cloud Platform,
21,Heroku,
21,IBM Cloud or Watson,
21,iOS,
21,Linux,Want to work with NEXT year
21,MacOS,
21,Microsoft Azure,
21,Raspberry Pi,
21,Windows,
21,WordPress,
21,Angular,Want to work with NEXT year
21,ASP.NET,
21,Django,
21,Express,
21,jQuery,
21,Laravel,
21,React.js,Want to work with NEXT year
21,Ruby on Rails,
21,Vue.js,
21,Spring,
21,.NET,
21,.NET Core,
21,Flutter,
21,Node.js,
21,Puppet,
21,React Native,
21,Deno.js,
21,GitHub,Want to work with NEXT year
21,GitLab,
21,Facebook Workplace,
21,Slack,
21,Microsoft Teams,
21,Microsoft Azure2,
21,Trello,
21,"Google Suite (Docs, Meet, etc)",
21,Stack Overflow for Teams,
21,Jira,
22,C,
22,C#,
22,C++,
22,HTML/CSS,Both
22,Java,Worked with in PAST year
22,JavaScript,Both
22,Kotlin,
22,PHP,Worked with in PAST year
22,Python,Both
22,Ruby,
22,SQL,
22,Swift,
22,TypeScript,
22,Android,
22,Arduino,
22,AWS,Both
22,Docker,Both
22,Google Cloud Platform,
22,Heroku,Both
22,IBM Cloud or Watson,
22,iOS,
22,Linux,Both
22,MacOS,Both
22,Microsoft Azure,
22,Raspberry Pi,
22,Windows,
22,WordPress,Worked with in PAST year
22,Angular,
22,ASP.NET,
22,Django,Both
22,Express,Both
22,jQuery,Both
22,Laravel,
22,React.js,
22,Ruby on Rails,
22,Vue.js,Worked with in PAST year
22,Spring,
22,.NET,
22,.NET Core,
22,Flutter,Want to work with NEXT year
22,Node.js,Both
22,Puppet,
22,React Native,
22,Deno.js,
22,GitHub,Both
22,GitLab,Both
22,Facebook Workplace,Both
22,Slack,
22,Microsoft Teams,
22,Microsoft Azure2,
22,Trello,Both
22,"Google Suite (Docs, Meet, etc)",Both
22,Stack Overflow for Teams,
22,Jira,
23,C,
23,C#,
23,C++,
23,HTML/CSS,
23,Java,
23,JavaScript,
23,Kotlin,
23,PHP,
23,Python,
23,Ruby,
23,SQL,
23,Swift,
23,TypeScript,
23,Android,
23,Arduino,
23,AWS,
23,Docker,
23,Google Cloud Platform,
23,Heroku,
23,IBM Cloud or Watson,
23,iOS,
23,Linux,
23,MacOS,
23,Microsoft Azure,
23,Raspberry Pi,
23,Windows,
23,WordPress,
23,Angular,
23,ASP.NET,
23,Django,
23,Express,
23,jQuery,
23,Laravel,
23,React.js,
23,Ruby on Rails,
23,Vue.js,
23,Spring,
23,.NET,
23,.NET Core,
23,Flutter,
23,Node.js,
23,Puppet,
23,React Native,
23,Deno.js,
23,GitHub,
23,GitLab,
23,Facebook Workplace,
23,Slack,
23,Microsoft Teams,
23,Microsoft Azure2,
23,Trello,
23,"Google Suite (Docs, Meet, etc)",
23,Stack Overflow for Teams,
23,Jira,
24,C,
24,C#,
24,C++,Worked with in PAST year
24,HTML/CSS,Both
24,Java,
24,JavaScript,Both
24,Kotlin,
24,PHP,
24,Python,Want to work with NEXT year
24,Ruby,
24,SQL,
24,Swift,
24,TypeScript,Worked with in PAST year
24,Android,
24,Arduino,Worked with in PAST year
24,AWS,
24,Docker,
24,Google Cloud Platform,
24,Heroku,Both
24,IBM Cloud or Watson,
24,iOS,
24,Linux,
24,MacOS,
24,Microsoft Azure,
24,Raspberry Pi,
24,Windows,Worked with in PAST year
24,WordPress,
24,Angular,
24,ASP.NET,
24,Django,
24,Express,
24,jQuery,
24,Laravel,
24,React.js,Both
24,Ruby on Rails,
24,Vue.js,
24,Spring,
24,.NET,
24,.NET Core,
24,Flutter,
24,Node.js,Want to work with NEXT year
24,Puppet,
24,React Native,
24,Deno.js,
24,GitHub,Both
24,GitLab,Both
24,Facebook Workplace,
24,Slack,Both
24,Microsoft Teams,
24,Microsoft Azure2,
24,Trello,
24,"Google Suite (Docs, Meet, etc)",
24,Stack Overflow for Teams,
24,Jira,Both
25,C,Worked with in PAST year
25,C#,
25,C++,
25,HTML/CSS,
25,Java,
25,JavaScript,
25,Kotlin,
25,PHP,
25,Python,Both
25,Ruby,
25,SQL,Want to work with NEXT year
25,Swift,
25,TypeScript,
25,Android,
25,Arduino,
25,AWS,
25,Docker,
25,Google Cloud Platform,
25,Heroku,
25,IBM Cloud or Watson,
25,iOS,
25,Linux,
25,MacOS,
25,Microsoft Azure,
25,Raspberry Pi,
25,Windows,Both
25,WordPress,
25,Angular,
25,ASP.NET,
25,Django,
25,Express,
25,jQuery,
25,Laravel,
25,React.js,
25,Ruby on Rails,
25,Vue.js,
25,Spring,
25,.NET,
25,.NET Core,
25,Flutter,
25,Node.js,
25,Puppet,
25,React Native,
25,Deno.js,
25,GitHub,Want to work with NEXT year
25,GitLab,
25,Facebook Workplace,
25,Slack,Both
25,Microsoft Teams,
25,Microsoft Azure2,
25,Trello,
25,"Google Suite (Docs, Meet, etc)",
25,Stack Overflow for Teams,Want to work with NEXT year
25,Jira,
26,C,Worked with in PAST year
26,C#,Want to work with NEXT year
26,C++,Worked with in PAST year
26,HTML/CSS,Both
26,Java,Want to work with NEXT year
